Date / Statut,Vol,De,Arrivée Planifiée,Départ,Arrivé,Durée,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
"jeu, 21. sept 2017 18:00 EDT A Atterri",S6301 Flag of Haiti Sunrise Airways (S6 / KSZ),Santiago de Cuba (SCU / MUCU),18:00 EDT,17:00 CDT à temps,18:00 EDT à temps,1h,,,,,
"jeu, 21. sept 2017 18:00 EDT A Atterri",S62217 Flag of Haiti Sunrise Airways (S6 / KSZ),Santo Domingo (JBQ / MDJB),18:00 EDT,17:15 AST à temps,18:00 EDT à temps,45m,,,,,
(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});
"jeu, 21. sept 2017 18:20 EDT A Atterri",AF606 Air France (AF / AFR),Pointe-a-Pitre (PTP / TFFR),18:20 EDT,16:20 AST à temps,18:20 EDT à temps,2h,,,,,
"ven, 22. sept 2017 07:48 EDT A Atterri",B61509 JBU1509 JetBlue Airways (B6 / JBU),Fort Lauderdale (FLL / KFLL),07:48 EDT,06:11 EDT 11 min retard,07:50 EDT 2 min retard,1h 39m,,,,,
"ven, 22. sept 2017 08:00 EDT A Atterri",S6200 Flag of Haiti Sunrise Airways (S6 / KSZ),Santo Domingo (SDQ / MDSD),08:00 EDT,07:15 AST à temps,08:00 EDT à temps,45m,,,,,
"ven, 22. sept 2017 08:02 EDT A Atterri",AA1158 AAL1158 American Airlines (AA / AAL),Fort Lauderdale (FLL / KFLL),08:02 EDT,06:07 EDT 7 min retard,07:46 EDT 15 min tôt,1h 38m,,,,,
"ven, 22. sept 2017 08:17 EDT A Atterri",S6217 Flag of Haiti Sunrise Airways (S6 / KSZ),Santo Domingo (JBQ / MDJB),08:17 EDT,07:30 AST à temps,08:17 EDT à temps,47m,,,,,
(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});
"ven, 22. sept 2017 08:30 EDT A Atterri",S611 Flag of Haiti Sunrise Airways (S6 / KSZ),Flag of Haiti Cap-Haitien (CAP / MTCH),08:30 EDT,08:00 EDT à temps,08:30 EDT à temps,30m,,,,,
"ven, 22. sept 2017 09:00 EDT A Atterri",S61217 Flag of Haiti Sunrise Airways (S6 / KSZ),Santo Domingo (JBQ / MDJB),09:00 EDT,08:15 AST à temps,09:00 EDT à temps,45m,,,,,
"ven, 22. sept 2017 09:11 EDT A Atterri",NK951 NKS951 Spirit Airlines (NK / NKS),Fort Lauderdale (FLL / KFLL),09:11 EDT,07:10 EDT à temps,09:11 EDT planifié,2h 1m,,,,,
"ven, 22. sept 2017 09:20 EDT A Atterri",AA377 American Airlines (AA / AAL),Miami (MIA / KMIA),09:20 EDT,07:15 EDT à temps,09:20 EDT à temps,2h 5m,,,,,
"ven, 22. sept 2017 10:30 EDT A Atterri",S613 Flag of Haiti Sunrise Airways (S6 / KSZ),Flag of Haiti Cap-Haitien (CAP / MTCH),10:30 EDT,10:00 EDT à temps,10:30 EDT à temps,30m,,,,,
(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});
"ven, 22. sept 2017 10:30 EDT A Atterri",M6853 Amerijet International (M6 / AJT),Miami (MIA / KMIA),10:30 EDT,09:30 EDT à temps,10:30 EDT à temps,1h,,,,,
"ven, 22. sept 2017 11:00 EDT A Atterri",LW704 JMR704 Lumiwings (LW / LWI),Lima (LIM / SPJC),11:00 EDT,07:34 UTC-05 2 h 34 min retard,13:03 EDT 2 h 3 min retard,4h 28m,,,,,
"ven, 22. sept 2017 11:00 EDT A Atterri",AF613 AFR613 Air France (AF / AFR),Miami (MIA / KMIA),11:00 EDT,09:20 EDT 15 min retard,11:00 EDT à temps,1h 40m,,,,,
"ven, 22. sept 2017 11:00 EDT A Atterri",JY619 InterCaribbean Airways (JY / IWY),Kingston (KIN / MKJP),11:00 EDT,08:40 EST à temps,11:00 EDT planifié,1h 20m,,,,,
"ven, 22. sept 2017 11:09 EDT A Atterri",B61835 JBU1835 JetBlue Airways (B6 / JBU),New York (JFK / KJFK),11:09 EDT,07:39 EDT 25 min retard,11:06 EDT 2 min tôt,3h 27m,,,,,
,,,,,,,,,,,
"ven, 22. sept 2017 11:10 EDT A Atterri",AA2175 AAL2175 American Airlines (AA / AAL),New York (JFK / KJFK),11:10 EDT,07:28 EDT 18 min retard,10:58 EDT 11 min tôt,3h 29m,,,,,
"ven, 22. sept 2017 11:50 EDT A Atterri",CU244 Cubana (CU / CUB),Santiago de Cuba (SCU / MUCU),11:50 EDT,10:30 CDT à temps,11:50 EDT à temps,1h 20m,,,,,
"ven, 22. sept 2017 12:50 EDT A Atterri",S6303 Flag of Haiti Sunrise Airways (S6 / KSZ),Camaguey (CMW / MUCM),12:50 EDT,11:25 CDT à temps,12:50 EDT à temps,1h 25m,,,,,
"ven, 22. sept 2017 12:59 EDT A Atterri",AA949 AAL949 American Airlines (AA / AAL),Miami (MIA / KMIA),12:59 EDT,11:04 EDT 15 min retard,12:44 EDT 14 min tôt,1h 39m,,,,,
"ven, 22. sept 2017 13:10 EDT Annulé",JY216 InterCaribbean Airways (JY / IWY),Providenciales (PLS / MBPV),13:10 EDT,,,1h 10m,,,,,
(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});
"ven, 22. sept 2017 13:25 EDT A Atterri",II701 IBC Airways (II / CSQ),Miami (MIA / KMIA),13:25 EDT,10:46 EDT 46 min retard,13:25 EDT à temps,2h 39m,,,,,
"ven, 22. sept 2017 13:30 EDT A Atterri",S615 Flag of Haiti Sunrise Airways (S6 / KSZ),Flag of Haiti Cap-Haitien (CAP / MTCH),13:30 EDT,13:00 EDT à temps,13:30 EDT à temps,30m,,,,,
"ven, 22. sept 2017 13:40 EDT A Atterri",JY620 InterCaribbean Airways (JY / IWY),Santo Domingo (SDQ / MDSD),13:40 EDT,12:50 AST à temps,13:40 EDT à temps,50m,,,,,
"ven, 22. sept 2017 14:35 EDT A Atterri",DL685 DAL685 Delta Air Lines (DL / DAL),Atlanta (ATL / KATL),14:35 EDT,11:43 EDT 13 min retard,14:27 EDT 7 min tôt,2h 44m,,,,,
"ven, 22. sept 2017 15:52 EDT A Atterri",B61709 JBU1709 JetBlue Airways (B6 / JBU),Fort Lauderdale (FLL / KFLL),15:52 EDT,14:11 EDT 16 min retard,15:52 EDT à temps,1h 40m,,,,,
,,,,,,,,,,,
"ven, 22. sept 2017 16:35 EDT A Atterri",AA2277 AAL2277 American Airlines (AA / AAL),Fort Lauderdale (FLL / KFLL),16:35 EDT,14:30 EDT à temps,16:35 EDT planifié,2h 5m,,,,,
"ven, 22. sept 2017 16:45 EDT A Atterri",S617 Flag of Haiti Sunrise Airways (S6 / KSZ),Flag of Haiti Cap-Haitien (CAP / MTCH),16:45 EDT,16:15 EDT à temps,16:45 EDT à temps,30m,,,,,
"ven, 22. sept 2017 17:17 EDT A Atterri",S62167 Flag of Haiti Sunrise Airways (S6 / KSZ),Santo Domingo (JBQ / MDJB),17:17 EDT,16:30 AST à temps,17:17 EDT à temps,47m,,,,,
"ven, 22. sept 2017 17:39 EDT A Atterri",AA971 AAL971 American Airlines (AA / AAL),Miami (MIA / KMIA),17:39 EDT,16:13 EDT 39 min retard,17:52 EDT 13 min retard,1h 38m,,,,,
"ven, 22. sept 2017 18:00 EDT A Atterri",S62217 Flag of Haiti Sunrise Airways (S6 / KSZ),Santo Domingo (JBQ / MDJB),18:00 EDT,17:15 AST à temps,18:00 EDT à temps,45m,,,,,
(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});
"ven, 22. sept 2017 18:20 EDT A Atterri",AF606 Air France (AF / AFR),Pointe-a-Pitre (PTP / TFFR),18:20 EDT,16:20 AST à temps,18:20 EDT planifié,2h,,,,,
"sam, 23. sept 2017 07:00 EDT A Atterri",UP193 Bahamasair (UP / BHS),Nassau (NAS / MYNN),07:00 EDT,06:00 EDT à temps,07:00 EDT à temps,1h,,,,,
"sam, 23. sept 2017 07:48 EDT A Atterri",B61509 JetBlue Airways (B6 / JBU),Fort Lauderdale (FLL / KFLL),07:48 EDT,06:00 EDT à temps,07:48 EDT à temps,1h 48m,,,,,
"sam, 23. sept 2017 08:02 EDT A Atterri",AA1158 American Airlines (AA / AAL),Fort Lauderdale (FLL / KFLL),08:02 EDT,06:00 EDT à temps,08:02 EDT à temps,2h 2m,,,,,
"sam, 23. sept 2017 08:30 EDT A Atterri",S611 Flag of Haiti Sunrise Airways (S6 / KSZ),Flag of Haiti Cap-Haitien (CAP / MTCH),08:30 EDT,08:00 EDT à temps,08:30 EDT à temps,30m,,,,,
(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});
"sam, 23. sept 2017 09:00 EDT A Atterri",S6217 Flag of Haiti Sunrise Airways (S6 / KSZ),Santo Domingo (JBQ / MDJB),09:00 EDT,08:15 AST à temps,09:00 EDT à temps,45m,,,,,
"sam, 23. sept 2017 09:00 EDT A Atterri",S61217 Flag of Haiti Sunrise Airways (S6 / KSZ),Santo Domingo (JBQ / MDJB),09:00 EDT,08:15 AST à temps,09:00 EDT à temps,45m,,,,,
"sam, 23. sept 2017 09:11 EDT A Atterri",NK951 Spirit Airlines (NK / NKS),Fort Lauderdale (FLL / KFLL),09:11 EDT,07:10 EDT à temps,09:11 EDT à temps,2h 1m,,,,,
"sam, 23. sept 2017 09:20 EDT A Atterri",AA377 American Airlines (AA / AAL),Miami (MIA / KMIA),09:20 EDT,07:15 EDT à temps,09:20 EDT à temps,2h 5m,,,,,
"sam, 23. sept 2017 10:30 EDT A Atterri",S69901 Flag of Haiti Sunrise Airways (S6 / KSZ),Santiago (SCL / SCEL),10:30 EDT,01:00 UTC-03 à temps,10:30 EDT à temps,10h 30m,,,,,
(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});
"sam, 23. sept 2017 10:30 EDT A Atterri",S613 Flag of Haiti Sunrise Airways (S6 / KSZ),Flag of Haiti Cap-Haitien (CAP / MTCH),10:30 EDT,10:00 EDT à temps,10:30 EDT à temps,30m,,,,,
"sam, 23. sept 2017 11:00 EDT A Atterri",AF619 Air France (AF / AFR),Miami (MIA / KMIA),11:00 EDT,09:05 EDT à temps,11:00 EDT à temps,1h 55m,,,,,
"sam, 23. sept 2017 11:09 EDT A Atterri",B61835 JetBlue Airways (B6 / JBU),New York (JFK / KJFK),11:09 EDT,07:14 EDT à temps,11:09 EDT à temps,3h 55m,,,,,
"sam, 23. sept 2017 11:10 EDT A Atterri",AA2175 American Airlines (AA / AAL),New York (JFK / KJFK),11:10 EDT,07:10 EDT à temps,11:10 EDT à temps,4h,,,,,
"sam, 23. sept 2017 12:00 EDT Annulé",CU242 Cubana (CU / CUB),Camaguey (CMW / MUCM),12:00 EDT,,,2h,,,,,
,,,,,,,,,,,
"sam, 23. sept 2017 12:07 EDT A Atterri",CM202 CMP202 Copa Airlines (CM / CMP),Panama City (PTY / MPTO),12:07 EDT,08:59 EST 24 min retard,11:49 EDT 17 min tôt,1h 49m,,,,,
"sam, 23. sept 2017 12:15 EDT A Atterri",LW704 JMR704 Lumiwings (LW / LWI),Lima (LIM / SPJC),12:15 EDT,07:46 UTC-05 1 h 31 min retard,13:28 EDT 1 h 13 min retard,4h 42m,,,,,
"sam, 23. sept 2017 12:59 EDT A Atterri",AA949 AAL949 American Airlines (AA / AAL),Miami (MIA / KMIA),12:59 EDT,11:04 EDT 15 min retard,12:46 EDT 12 min tôt,1h 42m,,,,,
"sam, 23. sept 2017 13:00 EDT A Atterri",B61147 JBU1147 JetBlue Airways (B6 / JBU),Boston (BOS / KBOS),13:00 EDT,09:12 EDT 27 min retard,13:08 EDT 8 min retard,3h 56m,,,,,
"sam, 23. sept 2017 13:05 EDT A Atterri",WM803 Winair (WM / WIA),Sint Maarten (SXM / TNCM),13:05 EDT,11:25 AST à temps,13:05 EDT à temps,1h 40m,,,,,
(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});
"sam, 23. sept 2017 13:15 EDT Annulé",JY216 InterCaribbean Airways (JY / IWY),Providenciales (PLS / MBPV),13:15 EDT,,,1h 25m,,,,,
"sam, 23. sept 2017 13:50 EDT A Atterri",S6403 Flag of Haiti Sunrise Airways (S6 / KSZ),Oranjestad (AUA / TNCA),13:50 EDT,12:25 AST à temps,13:50 EDT à temps,1h 25m,,,,,
"sam, 23. sept 2017 14:35 EDT A Atterri",DL685 DAL685 Delta Air Lines (DL / DAL),Atlanta (ATL / KATL),14:35 EDT,11:40 EDT 10 min retard,14:25 EDT 9 min tôt,2h 44m,,,,,
"sam, 23. sept 2017 15:52 EDT A Atterri",B61709 JBU1709 JetBlue Airways (B6 / JBU),Fort Lauderdale (FLL / KFLL),15:52 EDT,14:16 EDT 21 min retard,15:58 EDT 6 min retard,1h 41m,,,,,
"sam, 23. sept 2017 16:35 EDT A Atterri",AA2277 AAL2277 American Airlines (AA / AAL),Fort Lauderdale (FLL / KFLL),16:35 EDT,14:40 EDT 10 min retard,16:22 EDT 12 min tôt,1h 41m,,,,,
,,,,,,,,,,,
