Date / Statut,Vol,De,Arrivée Planifiée,Départ,Arrivé,Durée,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
"mar, 12. déc 2017 09:11 EST A Atterri",B61509 JBU1509 JetBlue Airways (B6 / JBU),Fort Lauderdale (FLL / KFLL),09:11 EST,07:32 EST 15 min retard,09:15 EST 4 min retard,1h 42m,,,,,
"mar, 12. déc 2017 09:20 EST A Atterri",AA377 AAL377 American Airlines (AA / AAL),Miami (MIA / KMIA),09:20 EST,07:30 EST 15 min retard,09:06 EST 13 min tôt,1h 35m,,,,,
"mar, 12. déc 2017 10:15 EST A Atterri",AF619 AFR619 Air France (AF / AFR),Miami (MIA / KMIA),10:15 EST,08:36 EST 16 min retard,10:11 EST 3 min tôt,1h 35m,,,,,
"mar, 12. déc 2017 10:35 EST A Atterri",S613 Flag of Haiti Sunrise Airways (S6 / KSZ),Flag of Haiti Cap-Haitien (CAP / MTCH),10:35 EST,10:00 EST à temps,10:35 EST à temps,35m,,,,,
"mar, 12. déc 2017 10:40 EST A Atterri",WM807 Winair (WM / WIA),Willemstad (CUR / TNCC),10:40 EST,10:15 AST à temps,10:40 EST à temps,1h 25m,,,,,
(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});
"mar, 12. déc 2017 11:00 EST A Atterri",LW704 JMR704 Lumiwings (LW / LWI),Lima (LIM / SPJC),11:00 EST,08:50 UTC-05 3 h 50 min retard,13:30 EST 2 h 30 min retard,4h 40m,,,,,
"mar, 12. déc 2017 11:07 EST A Atterri",CM202 CMP202 Copa Airlines (CM / CMP),Panama City (PTY / MPTO),11:07 EST,08:59 EST 17 min retard,10:48 EST 18 min tôt,1h 49m,,,,,
"mar, 12. déc 2017 11:22 EST A Atterri",AA2175 AAL2175 American Airlines (AA / AAL),New York (JFK / KJFK),11:22 EST,07:39 EST 19 min retard,11:15 EST 6 min tôt,3h 36m,,,,,
"mar, 12. déc 2017 11:55 EST A Atterri",B61147 JBU1147 JetBlue Airways (B6 / JBU),Boston (BOS / KBOS),11:55 EST,08:16 EST 36 min retard,12:06 EST 11 min retard,3h 50m,,,,,
"mar, 12. déc 2017 12:00 EST A Atterri",CU242 Cubana (CU / CUB),Camaguey (CMW / MUCM),12:00 EST,10:00 CST à temps,12:00 EST à temps,2h,,,,,
,,,,,,,,,,,
"mar, 12. déc 2017 12:00 EST Annulé",JY216 InterCaribbean Airways (JY / IWY),Providenciales (PLS / MBPV),12:00 EST,,,1h 10m,,,,,
"mar, 12. déc 2017 12:59 EST A Atterri",AA949 AAL949 American Airlines (AA / AAL),Miami (MIA / KMIA),12:59 EST,11:22 EST 32 min retard,13:01 EST 2 min retard,1h 39m,,,,,
"mar, 12. déc 2017 13:30 EST A Atterri",JY209 InterCaribbean Airways (JY / IWY),Flag of Haiti Cap-Haitien (CAP / MTCH),13:30 EST,13:10 EST à temps,13:30 EST à temps,20m,,,,,
"mar, 12. déc 2017 13:30 EST A Atterri",JY217 InterCaribbean Airways (JY / IWY),Flag of Haiti Cap-Haitien (CAP / MTCH),13:30 EST,13:10 EST à temps,13:30 EST à temps,20m,,,,,
"mar, 12. déc 2017 13:30 EST A Atterri",S615 Flag of Haiti Sunrise Airways (S6 / KSZ),Flag of Haiti Cap-Haitien (CAP / MTCH),13:30 EST,13:00 EST à temps,13:30 EST à temps,30m,,,,,
(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});
"mar, 12. déc 2017 13:47 EST A Atterri",B61335 JBU1335 JetBlue Airways (B6 / JBU),New York (JFK / KJFK),13:47 EST,12:33 EST 2 h 33 min retard,16:23 EST 2 h 36 min retard,3h 49m,,,,,
"mar, 12. déc 2017 13:55 EST A Atterri",TX556 FWI556 Air Caraïbes (TX / FWI),Paris (ORY / LFPO),13:55 EST,14:35 CET 4 h 35 min retard,18:12 EST 4 h 17 min retard,9h 37m,,,,,
"mar, 12. déc 2017 14:00 EST A Atterri",S6305 KSZ305 Flag of Haiti Sunrise Airways (S6 / KSZ),Havana (HAV / MUHA),14:00 EST,12:00 CST à temps,21:15 EST 7 h 15 min retard,9h 15m,,,,,
"mar, 12. déc 2017 14:36 EST A Atterri",DL685 DAL685 Delta Air Lines (DL / DAL),Atlanta (ATL / KATL),14:36 EST,11:51 EST 21 min retard,14:31 EST 5 min tôt,2h 39m,,,,,
"mar, 12. déc 2017 15:00 EST A Atterri",JY402 InterCaribbean Airways (JY / IWY),Santo Domingo (SDQ / MDSD),15:00 EST,15:05 AST à temps,15:00 EST à temps,55m,,,,,
,,,,,,,,,,,
"mar, 12. déc 2017 15:32 EST A Atterri",B61709 JBU1709 JetBlue Airways (B6 / JBU),Fort Lauderdale (FLL / KFLL),15:32 EST,14:00 EST 25 min retard,15:35 EST 3 min retard,1h 34m,,,,,
"mar, 12. déc 2017 16:15 EST A Atterri",S62217 Flag of Haiti Sunrise Airways (S6 / KSZ),Santo Domingo (JBQ / MDJB),16:15 EST,15:30 AST à temps,16:15 EST à temps,1h 45m,,,,,
"mar, 12. déc 2017 16:30 EST A Atterri",AA2277 AAL2277 American Airlines (AA / AAL),Fort Lauderdale (FLL / KFLL),16:30 EST,16:26 EST 1 h 58 min retard,18:06 EST 1 h 36 min retard,1h 39m,,,,,
"mar, 12. déc 2017 16:45 EST A Atterri",S617 Flag of Haiti Sunrise Airways (S6 / KSZ),Flag of Haiti Cap-Haitien (CAP / MTCH),16:45 EST,16:15 EST à temps,16:45 EST à temps,30m,,,,,
"mar, 12. déc 2017 17:38 EST A Atterri",AA971 AAL971 American Airlines (AA / AAL),Miami (MIA / KMIA),17:38 EST,16:08 EST 33 min retard,17:48 EST 10 min retard,1h 40m,,,,,
(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});
"mar, 12. déc 2017 17:50 EST A Atterri",S6301 Flag of Haiti Sunrise Airways (S6 / KSZ),Santiago de Cuba (SCU / MUCU),17:50 EST,16:40 CST à temps,17:50 EST à temps,1h 10m,,,,,
"mer, 13. déc 2017 07:15 EST A Atterri",S6217 Flag of Haiti Sunrise Airways (S6 / KSZ),Santo Domingo (JBQ / MDJB),07:15 EST,06:30 AST à temps,07:15 EST à temps,1h 45m,,,,,
"mer, 13. déc 2017 08:00 EST A Atterri",S62101 Flag of Haiti Sunrise Airways (S6 / KSZ),Miami (MIA / KMIA),08:00 EST,06:10 EST à temps,08:00 EST à temps,1h 50m,,,,,
"mer, 13. déc 2017 08:00 EST A Atterri",UP193 BHS193 Bahamasair (UP / BHS),Nassau (NAS / MYNN),08:00 EST,06:18 EST 18 min retard,08:11 EST 11 min retard,1h 53m,,,,,
"mer, 13. déc 2017 08:03 EST A Atterri",AA1158 AAL1158 American Airlines (AA / AAL),Fort Lauderdale (FLL / KFLL),08:03 EST,06:12 EST 12 min retard,07:55 EST 7 min tôt,1h 43m,,,,,
(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});
"mer, 13. déc 2017 08:30 EST A Atterri",S611 Flag of Haiti Sunrise Airways (S6 / KSZ),Flag of Haiti Cap-Haitien (CAP / MTCH),08:30 EST,08:00 EST à temps,08:30 EST à temps,30m,,,,,
"mer, 13. déc 2017 09:11 EST A Atterri",B61509 JBU1509 JetBlue Airways (B6 / JBU),Fort Lauderdale (FLL / KFLL),09:11 EST,07:30 EST 13 min retard,09:01 EST 10 min tôt,1h 30m,,,,,
"mer, 13. déc 2017 09:20 EST A Atterri",AA377 AAL377 American Airlines (AA / AAL),Miami (MIA / KMIA),09:20 EST,07:36 EST 21 min retard,09:13 EST 6 min tôt,1h 37m,,,,,
"mer, 13. déc 2017 10:35 EST A Atterri",S613 Flag of Haiti Sunrise Airways (S6 / KSZ),Flag of Haiti Cap-Haitien (CAP / MTCH),10:35 EST,10:00 EST à temps,10:35 EST à temps,35m,,,,,
"mer, 13. déc 2017 11:00 EST A Atterri",LW704 JMR704 Lumiwings (LW / LWI),Lima (LIM / SPJC),11:00 EST,07:28 UTC-05 2 h 28 min retard,12:08 EST 1 h 8 min retard,4h 40m,,,,,
(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});
"mer, 13. déc 2017 11:07 EST A Atterri",CM202 CMP202 Copa Airlines (CM / CMP),Panama City (PTY / MPTO),11:07 EST,08:55 EST 13 min retard,10:53 EST 13 min tôt,1h 57m,,,,,
"mer, 13. déc 2017 11:22 EST A Atterri",AA2175 AAL2175 American Airlines (AA / AAL),New York (JFK / KJFK),11:22 EST,08:25 EST 1 h 5 min retard,11:51 EST 29 min retard,3h 25m,,,,,
"mer, 13. déc 2017 12:59 EST A Atterri",AA949 AAL949 American Airlines (AA / AAL),Miami (MIA / KMIA),12:59 EST,11:29 EST 39 min retard,13:03 EST 4 min retard,1h 34m,,,,,
"mer, 13. déc 2017 13:15 EST A Atterri",9Q601 Caicos Express Airways (9Q / CXE),Providenciales (PLS / MBPV),13:15 EST,12:00 AST à temps,13:15 EST à temps,2h 15m,,,,,
"mer, 13. déc 2017 13:25 EST A Atterri",TS664 TSC664 Air Transat (TS / TSC),Montreal (YUL / CYUL),13:25 EST,11:35 EST 2 h 35 min retard,15:27 EST 2 h 2 min retard,3h 52m,,,,,
,,,,,,,,,,,
"mer, 13. déc 2017 13:30 EST A Atterri",S615 Flag of Haiti Sunrise Airways (S6 / KSZ),Flag of Haiti Cap-Haitien (CAP / MTCH),13:30 EST,13:00 EST à temps,13:30 EST à temps,30m,,,,,
"mer, 13. déc 2017 13:47 EST A Atterri",B61335 JBU1335 JetBlue Airways (B6 / JBU),New York (JFK / KJFK),13:47 EST,11:01 EST 1 h 1 min retard,14:34 EST 47 min retard,3h 33m,,,,,
"mer, 13. déc 2017 13:50 EST A Atterri",AC1814 ROU1814 Air Canada (AC / ACA),Montreal (YUL / CYUL),13:50 EST,10:31 EST 1 h 6 min retard,14:14 EST 24 min retard,3h 42m,,,,,
"mer, 13. déc 2017 14:36 EST A Atterri",DL685 DAL685 Delta Air Lines (DL / DAL),Atlanta (ATL / KATL),14:36 EST,11:40 EST 10 min retard,14:27 EST 9 min tôt,2h 46m,,,,,
"mer, 13. déc 2017 15:32 EST A Atterri",B61709 JBU1709 JetBlue Airways (B6 / JBU),Fort Lauderdale (FLL / KFLL),15:32 EST,13:55 EST 20 min retard,15:34 EST 2 min retard,1h 39m,,,,,
(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});
"mer, 13. déc 2017 15:40 EST A Atterri",M68311 Amerijet International (M6 / AJT),Pointe-a-Pitre (PTP / TFFR),15:40 EST,14:35 AST à temps,15:40 EST à temps,2h 5m,,,,,
"mer, 13. déc 2017 16:15 EST A Atterri",S62217 Flag of Haiti Sunrise Airways (S6 / KSZ),Santo Domingo (JBQ / MDJB),16:15 EST,15:30 AST à temps,16:15 EST à temps,1h 45m,,,,,
"mer, 13. déc 2017 16:45 EST A Atterri",S617 Flag of Haiti Sunrise Airways (S6 / KSZ),Flag of Haiti Cap-Haitien (CAP / MTCH),16:45 EST,16:15 EST à temps,16:45 EST à temps,30m,,,,,
"mer, 13. déc 2017 17:35 EST A Atterri",AF606 AFR606 Air France (AF / AFR),Pointe-a-Pitre (PTP / TFFR),17:35 EST,17:58 AST 1 h 23 min retard,18:30 EST 55 min retard,1h 31m,,,,,
"jeu, 14. déc 2017 07:15 EST A Atterri",S6217 Flag of Haiti Sunrise Airways (S6 / KSZ),Santo Domingo (JBQ / MDJB),07:15 EST,06:30 AST 60 min tôt,07:15 EST à temps,1h 45m,,,,,
,,,,,,,,,,,
"jeu, 14. déc 2017 08:03 EST A Atterri",AA1158 AAL1158 American Airlines (AA / AAL),Fort Lauderdale (FLL / KFLL),08:03 EST,06:19 EST 19 min retard,07:54 EST 8 min tôt,1h 35m,,,,,
"jeu, 14. déc 2017 08:10 EST A Atterri",S61101 KSZ1101 Flag of Haiti Sunrise Airways (S6 / KSZ),Orlando (MCO / KMCO),08:10 EST,06:32 EST 37 min retard,08:21 EST 11 min retard,1h 49m,,,,,
"jeu, 14. déc 2017 08:30 EST A Atterri",S611 Flag of Haiti Sunrise Airways (S6 / KSZ),Flag of Haiti Cap-Haitien (CAP / MTCH),08:30 EST,08:00 EST à temps,08:30 EST à temps,30m,,,,,
"jeu, 14. déc 2017 08:56 EST A Atterri",NK951 NKS951 Spirit Airlines (NK / NKS),Fort Lauderdale (FLL / KFLL),08:56 EST,07:19 EST 19 min retard,08:53 EST 2 min tôt,1h 34m,,,,,
"jeu, 14. déc 2017 09:09 EST A Atterri",B61509 JBU1509 JetBlue Airways (B6 / JBU),Fort Lauderdale (FLL / KFLL),09:09 EST,07:33 EST 17 min retard,09:02 EST 7 min tôt,1h 28m,,,,,
(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});
"jeu, 14. déc 2017 09:20 EST A Atterri",AA377 AAL377 American Airlines (AA / AAL),Miami (MIA / KMIA),09:20 EST,07:36 EST 21 min retard,09:13 EST 6 min tôt,1h 37m,,,,,
"jeu, 14. déc 2017 07:15 EST A Atterri",S6217 Flag of Haiti Sunrise Airways (S6 / KSZ),Santo Domingo (JBQ / MDJB),07:15 EST,06:30 AST 60 min tôt,07:15 EST à temps,1h 45m,,,,,
"jeu, 14. déc 2017 08:03 EST A Atterri",AA1158 AAL1158 American Airlines (AA / AAL),Fort Lauderdale (FLL / KFLL),08:03 EST,06:19 EST 19 min retard,07:54 EST 8 min tôt,1h 35m,,,,,
"jeu, 14. déc 2017 08:10 EST A Atterri",S61101 KSZ1101 Flag of Haiti Sunrise Airways (S6 / KSZ),Orlando (MCO / KMCO),08:10 EST,06:32 EST 37 min retard,08:21 EST 11 min retard,1h 49m,,,,,
"jeu, 14. déc 2017 08:30 EST A Atterri",S611 Flag of Haiti Sunrise Airways (S6 / KSZ),Flag of Haiti Cap-Haitien (CAP / MTCH),08:30 EST,08:00 EST à temps,08:30 EST à temps,30m,,,,,
(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});
"jeu, 14. déc 2017 08:56 EST A Atterri",NK951 NKS951 Spirit Airlines (NK / NKS),Fort Lauderdale (FLL / KFLL),08:56 EST,07:19 EST 19 min retard,08:53 EST 2 min tôt,1h 34m,,,,,
"jeu, 14. déc 2017 09:09 EST A Atterri",B61509 JBU1509 JetBlue Airways (B6 / JBU),Fort Lauderdale (FLL / KFLL),09:09 EST,07:33 EST 17 min retard,09:02 EST 7 min tôt,1h 28m,,,,,
"jeu, 14. déc 2017 09:20 EST A Atterri",AA377 AAL377 American Airlines (AA / AAL),Miami (MIA / KMIA),09:20 EST,07:36 EST 21 min retard,09:13 EST 6 min tôt,1h 37m,,,,,
"jeu, 14. déc 2017 10:35 EST A Atterri",S613 Flag of Haiti Sunrise Airways (S6 / KSZ),Flag of Haiti Cap-Haitien (CAP / MTCH),10:35 EST,10:00 EST à temps,10:35 EST à temps,35m,,,,,
"jeu, 14. déc 2017 10:40 EST A Atterri",AF613 AFR613 Air France (AF / AFR),Miami (MIA / KMIA),10:40 EST,09:29 EST 1 h 9 min retard,11:03 EST 23 min retard,1h 33m,,,,,
(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});
"jeu, 14. déc 2017 11:00 EST A Atterri",LW704 JMR704 Lumiwings (LW / LWI),Lima (LIM / SPJC),11:00 EST,07:58 UTC-05 2 h 58 min retard,12:26 EST 1 h 26 min retard,4h 28m,,,,,
"jeu, 14. déc 2017 11:07 EST A Atterri",CM202 Copa Airlines (CM / CMP),Panama City (PTY / MPTO),11:07 EST,08:57 EST 15 min retard,11:07 EST à temps,2h 10m,,,,,
"jeu, 14. déc 2017 11:22 EST A Atterri",AA2175 AAL2175 American Airlines (AA / AAL),New York (JFK / KJFK),11:22 EST,09:07 EST 1 h 47 min retard,12:41 EST 1 h 19 min retard,3h 33m,,,,,
"jeu, 14. déc 2017 12:16 EST A Atterri",B6963 JBU963 JetBlue Airways (B6 / JBU),Orlando (MCO / KMCO),12:16 EST,10:25 EST 15 min retard,12:08 EST  8 min tôt,1h 42m,,,,,
"jeu, 14. déc 2017 12:59 EST A Atterri",AA949 AAL949 American Airlines (AA / AAL),Miami (MIA / KMIA),12:59 EST,12:22 EST 1 h 32 min retard,13:57 EST 58 min retard,1h 35m,,,,,
,,,,,,,,,,,
"jeu, 14. déc 2017 13:30 EST A Atterri",S615 Flag of Haiti Sunrise Airways (S6 / KSZ),Flag of Haiti Cap-Haitien (CAP / MTCH),13:30 EST,13:00 EST à temps,13:30 EST à temps,30m,,,,,
"jeu, 14. déc 2017 13:49 EST A Atterri",B61335 JBU1335 JetBlue Airways (B6 / JBU),New York (JFK / KJFK),13:49 EST,10:56 EST 1 h 4 min retard,14:24 EST 35 min retard,3h 28m,,,,,
"jeu, 14. déc 2017 14:00 EST A Atterri",S6305 Flag of Haiti Sunrise Airways (S6 / KSZ),Havana (HAV / MUHA),14:00 EST,12:00 CST à temps,14:00 EST à temps,2h,,,,,
"jeu, 14. déc 2017 14:14 EST A Atterri",S6405 KSZ405 Flag of Haiti Sunrise Airways (S6 / KSZ),Willemstad (CUR / TNCC),14:14 EST,13:42 AST à temps,14:14 EST à temps,1h 32m,,,,,
"jeu, 14. déc 2017 14:36 EST A Atterri",DL685 DAL685 Delta Air Lines (DL / DAL),Atlanta (ATL / KATL),14:36 EST,12:26 EST 56 min retard,14:54 EST 18 min retard,2h 27m,,,,,
(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});
"jeu, 14. déc 2017 15:20 EST A Atterri",CU240 Cubana (CU / CUB),Havana (HAV / MUHA),15:20 EST,12:20 CST à temps,15:20 EST à temps,3h,,,,,
"jeu, 14. déc 2017 15:33 EST A Atterri",B61709 JBU1709 JetBlue Airways (B6 / JBU),Fort Lauderdale (FLL / KFLL),15:33 EST,13:57 EST 19 min retard,15:44 EST 11 min retard,1h 47m,,,,,
"jeu, 14. déc 2017 16:15 EST A Atterri",S62217 Flag of Haiti Sunrise Airways (S6 / KSZ),Santo Domingo (JBQ / MDJB),16:15 EST,15:30 AST 60 min tôt,16:15 EST à temps,1h 45m,,,,,
"jeu, 14. déc 2017 16:30 EST A Atterri",AA2277 AAL2277 American Airlines (AA / AAL),Fort Lauderdale (FLL / KFLL),16:30 EST,15:31 EST 1 h 3 min retard,17:14 EST 44 min retard,1h 43m,,,,,
"jeu, 14. déc 2017 16:45 EST A Atterri",S617 Flag of Haiti Sunrise Airways (S6 / KSZ),Flag of Haiti Cap-Haitien (CAP / MTCH),16:45 EST,16:15 EST à temps,16:45 EST à temps,30m,,,,,
,,,,,,,,,,,
"jeu, 14. déc 2017 17:15 EST A Atterri",S6301 Flag of Haiti Sunrise Airways (S6 / KSZ),Santiago de Cuba (SCU / MUCU),17:15 EST,16:15 CST à temps,17:15 EST à temps,1h,,,,,
"jeu, 14. déc 2017 17:35 EST A Atterri",AF606 AFR606 Air France (AF / AFR),Pointe-a-Pitre (PTP / TFFR),17:35 EST,18:37 AST 2 h 2 min retard,19:11 EST 1 h 36 min retard,1h 34m,,,,,
"jeu, 14. déc 2017 17:38 EST A Atterri",AA971 AAL971 American Airlines (AA / AAL),Miami (MIA / KMIA),17:38 EST,16:29 EST 54 min retard,18:11 EST 33 min retard,1h 41m,,,,,
"ven, 15. déc 2017 07:15 EST A Atterri",S6217 Flag of Haiti Sunrise Airways (S6 / KSZ),Santo Domingo (JBQ / MDJB),07:15 EST,06:30 AST 60 min tôt,07:15 EST à temps,1h 45m,,,,,
"ven, 15. déc 2017 08:03 EST A Atterri",AA1158 AAL1158 American Airlines (AA / AAL),Fort Lauderdale (FLL / KFLL),08:03 EST,06:33 EST 33 min retard,08:09 EST 6 min retard,1h 36m,,,,,
(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});
"ven, 15. déc 2017 08:30 EST A Atterri",S611 Flag of Haiti Sunrise Airways (S6 / KSZ),Flag of Haiti Cap-Haitien (CAP / MTCH),08:30 EST,08:00 EST à temps,08:30 EST à temps,30m,,,,,
"ven, 15. déc 2017 07:15 EST A Atterri",S6217 Flag of Haiti Sunrise Airways (S6 / KSZ),Santo Domingo (JBQ / MDJB),07:15 EST,06:30 AST 60 min tôt,07:15 EST à temps,1h 45m,,,,,
"ven, 15. déc 2017 08:03 EST A Atterri",AA1158 AAL1158 American Airlines (AA / AAL),Fort Lauderdale (FLL / KFLL),08:03 EST,06:33 EST 33 min retard,08:09 EST 6 min retard,1h 36m,,,,,
"ven, 15. déc 2017 08:30 EST A Atterri",S611 Flag of Haiti Sunrise Airways (S6 / KSZ),Flag of Haiti Cap-Haitien (CAP / MTCH),08:30 EST,08:00 EST à temps,08:30 EST à temps,30m,,,,,
"ven, 15. déc 2017 08:56 EST A Atterri",NK951 NKS951 Spirit Airlines (NK / NKS),Fort Lauderdale (FLL / KFLL),08:56 EST,08:17 EST 1 h 17 min retard,09:54 EST 58 min retard,1h 37m,,,,,
(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});
"ven, 15. déc 2017 09:09 EST A Atterri",B61509 JBU1509 JetBlue Airways (B6 / JBU),Fort Lauderdale (FLL / KFLL),09:09 EST,07:38 EST 22 min retard,09:18 EST 9 min retard,1h 39m,,,,,
"ven, 15. déc 2017 09:10 EST A Atterri",S61101 KSZ1101 Flag of Haiti Sunrise Airways (S6 / KSZ),Orlando (MCO / KMCO),09:10 EST,07:17 EST 22 min retard,09:09 EST à temps,1h 51m,,,,,
